,AI.mean,AI.median,AI.sd,AI_Mod.mean,AI_Mod.median,AI_Mod.sd,DBE.mean,DBE.median,DBE.sd,DBE_O.mean,DBE_O.median,DBE_O.sd,KenMass.mean,KenMass.median,KenMass.sd,KenDef.mean,KenDef.median,KenDef.sd,NOSC.mean,NOSC.median,NOSC.sd,HtoC.mean,HtoC.median,HtoC.sd,OtoC.mean,OtoC.median,OtoC.sd,NtoC.mean,NtoC.median,NtoC.sd,PtoC.mean,PtoC.median,PtoC.sd,NtoP.mean,NtoP.median,NtoP.sd,GFE_0.mean,GFE_0.median,GFE_0.sd,GFE_7.mean,GFE_7.median,GFE_7.sd,GFEperC_0.mean,GFEperC_0.median,GFEperC_0.sd,GFEperC_7.mean,GFEperC_7.median,GFEperC_7.sd,lambdaO2_0.mean,lambdaO2_0.median,lambdaO2_0.sd,lambdaO2_7.mean,lambdaO2_7.median,lambdaO2_7.sd
RC2_0003,0.0939735042487042,0,0.188007611366337,0.244966087349761,0.217391304347826,0.208711450933082,10.8847023360965,10,5.97367880648745,-0.106443104747551,-1,6.6681389882467,496.48804155142,484.501981402438,155.499768061751,0.425561882977506,0.405945420445789,0.169662320767679,-0.330905872226496,-0.352941176470588,0.564713747794521,1.25818732512035,1.25,0.368597122495795,0.470084640474919,0.46875,0.184579450175344,0.0141414874456005,0,0.0384514663070883,0.0150021198191852,0,0.0233361054365,0.421928817451206,0,0.776922424979589,1752.61961190656,1675.2,735.140608858855,-3595.12855561632,-3461.79963617891,1230.20410546887,69.7308173584551,70.3588235294118,16.0943418121439,-144.286650288354,-144.346804993519,7.89483192530703,0.0455152313094764,0.0403919333255991,0.0207387532206686,0.039889612088489,0.0356199057522984,0.0176079040300496
RC2_0004,0.0977599446758066,0,0.191151695158504,0.255254129424688,0.227272727272727,0.208238405364774,11.1461093487591,10,5.87464859813202,0.132487404366486,-1,6.69634027761755,495.581292339747,482.517364259758,154.757902272728,0.426610058700266,0.410258111091593,0.161932235898564,-0.283971553733619,-0.307692307692307,0.547902613433891,1.22889037846078,1.22727272727273,0.3526182646237,0.475297344298302,0.472222222222222,0.186977176051426,0.0151081411638675,0,0.0378575995942353,0.0142466239951568,0,0.0229105879526057,0.444312090530077,0,0.798741255131301,1706.52186975182,1621.5,728.534934705015,-3549.3954132017,-3402.23810611325,1227.28765727986,68.3931892814082,69.0692307692308,15.6152244828659,-143.660758643814,-143.757677614918,7.73033482014223,0.0466200514051941,0.0416551544355244,0.0206181512710016,0.0408176461562819,0.0367025345352209,0.0175805853463951
RC2_0005,0.0905661419930169,0,0.181254630129457,0.244104190761311,0.217391304347826,0.205013458690853,10.6278625954198,10,5.76084306830342,-0.0925572519083969,-1,6.38373502455114,485.013726400918,470.673407458768,150.383918358726,0.409865344759612,0.389012028116554,0.160887207989385,-0.334349738903778,-0.352941176470588,0.556580963082574,1.25935280523484,1.25,0.360680186436693,0.467445379460122,0.466666666666667,0.177436748315192,0.0145958316281057,0,0.0370837351056353,0.0142425985554367,0,0.0229350521355457,0.417487684729064,0,0.765452177605286,1720.71332061069,1644.6,724.463249505182,-3520.01858769116,-3395.09967256102,1205.71436377036,69.8289675587577,70.3588235294118,15.8625574478534,-144.204091207126,-144.291887662522,7.81252113388338,0.046413026898423,0.041500876271816,0.020838620508083,0.0407240423090372,0.0363976497120894,0.0178072998385467
RC2_0006,0.0929821328245983,0,0.188117092174949,0.246200745103816,0.214285714285714,0.211166928597132,10.6399411548363,10,5.90926744592781,-0.032916513424053,-1,6.52668308133311,485.220323200057,468.720268075373,151.970581027479,0.410032743528836,0.388151002295103,0.165295058250547,-0.321623904665062,-0.347826086956522,0.575675742950314,1.2559077760522,1.25,0.369847614390452,0.469441353000217,0.466666666666667,0.182796692257202,0.0160342921922856,0,0.0399573656831512,0.0142652924299951,0,0.0230910046718967,0.454491374182035,0,0.792362572628801,1700.66965796249,1621.5,731.55563476989,-3491.39032859418,-3353.12273269236,1209.25763181245,69.4662812829543,70.2130434782609,16.406758674084,-144.024386710397,-144.168949185107,8.06531277929098,0.0470464336306731,0.0416864713291531,0.021592029043307,0.041256355018849,0.0368588452522819,0.0184694564135567
RC2_0007,0.0931839566328395,0,0.190551834393525,0.242211877970412,0.212121212121212,0.208228355217242,10.5180546858693,10,5.76575065718681,0.00960133583802964,-1,6.66404615345639,483.246377588946,470.646488058196,145.368393706161,0.415559216202733,0.400037273370515,0.16569419833799,-0.35047792661376,-0.37037037037037,0.564243073998453,1.26672486473523,1.26315789473684,0.3686703281608,0.464609130677817,0.464285714285714,0.184145503577516,0.0157360894275184,0,0.0401988227706732,0.015559271428281,0,0.0235490256706127,0.395291201982652,0,0.781768471113537,1715.61891045711,1624.8,720.391425764184,-3493.11636362802,-3333.51504598191,1177.52732551571,70.2886209084922,70.8555555555556,16.0809276089559,-144.450052928829,-144.514464821766,7.95539967680326,0.0462679440601995,0.0416864713291531,0.0201746241002635,0.0406010894027077,0.0368625688724792,0.0171802421214115
RC2_0008,0.102040191290198,0,0.192979957423967,0.261362023326812,0.236363636363636,0.205805534152617,11.6716851079267,11,6.14427633825612,0.434246326863777,-1,7.07038035434672,510.607668643414,498.556727977037,159.077385808082,0.436004825973351,0.422519204023104,0.16308333721768,-0.289585259338203,-0.3125,0.536380944873116,1.21956152305626,1.21428571428571,0.350566440643896,0.467376205543469,0.466666666666667,0.185593352619124,0.0136281682084266,0,0.0365968580613863,0.0132709991954338,0,0.0219149642492867,0.453078302450687,0,0.843837301612303,1777.20571376746,1685.1,751.358985633427,-3691.94856973011,-3555.45347953414,1273.16927779472,68.5531798911388,69.20625,15.2868569288838,-143.715447411697,-143.76066891243,7.49130510374483,0.0447620687574528,0.0402159207214111,0.0197584345404105,0.0392130616749821,0.0352281369661633,0.0168699053467333
RC2_0009,0.0943380452427879,0,0.182241262122631,0.258315094318231,0.235294117647059,0.199674845225681,11.4488764044944,11,5.79691651697532,0.133333333333333,-1,6.60295396480789,505.376014880584,492.511829140793,159.628169868791,0.431607113509621,0.415573520668147,0.160864380434555,-0.275420078576519,-0.296296296296297,0.532280107015514,1.21931854776874,1.21739130434783,0.337768637862917,0.474974998632953,0.473684210526316,0.180440037461675,0.0137730298759909,0,0.035891599373492,0.0132611085514698,0,0.0220663531645867,0.427763819095477,0,0.780696090303678,1743.36382022472,1648.8,739.481361173589,-3634.95471690099,-3488.75351591625,1252.43091993901,68.1494722394308,68.7444444444445,15.1699830499421,-143.511475757191,-143.532722354267,7.53155720977246,0.045648497979382,0.041244839625061,0.020289732692105,0.0399670277285535,0.0361730079600458,0.0171633087261975
RC2_0010,0.0925300256160749,0,0.185943034550879,0.249324768091876,0.220338983050847,0.20633585996236,10.8112235159382,10,5.7236922464345,-0.00801679709868296,-1,6.51344049499266,490.797177636582,478.568807802604,150.03036773385,0.418689522089193,0.402102518752514,0.158934187373142,-0.301097059804264,-0.32258064516129,0.55210143449111,1.24221136278853,1.23809523809524,0.354275129198403,0.473346743601505,0.472222222222222,0.180239408518435,0.0155393871880276,0,0.0363179504747383,0.0143418415264349,0,0.0227140384108768,0.448671497584541,0,0.799409554501074,1695.22773430044,1608.3,719.122159732681,-3503.18749174346,-3370.16888933713,1194.02700875796,68.8812662044215,69.4935483870968,15.7348908829966,-143.832887407776,-144.017933791955,7.8130201736768,0.046894108276698,0.0422610060750557,0.020491214528911,0.0410957404000851,0.0370557682711514,0.0174396630565857
RC2_0011,0.0976562840858869,0,0.185803624021412,0.254501273658926,0.227272727272727,0.203701841209075,11.0918459591394,10,5.90383058676683,0.32073766045923,-1,6.75407600985493,494.690875806487,482.5461824292,154.602932008563,0.420612515077815,0.402490938576619,0.159153598236692,-0.30475085558626,-0.333333333333333,0.540221681835397,1.2345561028824,1.22727272727273,0.347361464884909,0.465731664038119,0.466666666666667,0.182324759636797,0.0156342805659566,0,0.0355248699282636,0.0139074388209705,0,0.0223809461624289,0.476576055523424,0,0.838629465813693,1727.41128186585,1634.7,742.063065874636,-3563.44987764523,-3423.12269631025,1248.96931194856,68.9853993842084,69.8,15.3963179323088,-143.865488341293,-144.050754118201,7.67981285307514,0.0464272297465929,0.0416075599048028,0.0205919014729966,0.0407051489157377,0.0364422040219518,0.0176060094832791
RC2_0012,0.0943100916997817,0,0.186144101207589,0.248298254390938,0.220338983050847,0.206611551022881,10.8395584176633,10,5.83968904586633,0.110947562097516,-1,6.60177113759029,491.30952059603,478.627373135803,152.151355870788,0.41569343324414,0.398089231728193,0.157780607314611,-0.311528745574553,-0.333333333333333,0.547202002020587,1.24552546352037,1.24,0.352901528230748,0.468533813340695,0.466666666666667,0.178912926331866,0.0161243821419559,0,0.037978962128457,0.0142250913290463,0,0.0228000413145098,0.451631701631702,0,0.808477470287423,1712.46938362465,1624.8,731.519206286151,-3523.90264502887,-3379.3304194028,1225.96859172658,69.1785692488748,69.8,15.5952570575867,-143.923055147569,-144.050754118201,7.78725302130822,0.0468265505265084,0.0416551544355244,0.0213704891108844,0.0410419933055803,0.0367687753910375,0.0180373447503523
